"PT";"AFD";"BLOK";"IFTYPE";"IFSUBTYPE";"IFCODE";"IFDESC";"DIMENSI";"NILAI";"SATUAN";"BAIK";"SIAGA";"RUSAK";"WO_NO";"CREATED_DATE";"CREATED_BY";"MODIFIED_DATE";"MODIFIED_BY";"LAT";"LON";"TOPOGRAFI";"JENIS_TANAH";"ACTIVE"
"SA1";"OF";"OF012";"JL";"JLA";"JLAOF012";"Jalan Transport Timur OF012";"PJG";"1149";"MTR";"1149";"0";"0";"WOWIF/SA1/202606/020081";"30-JUN-26 08.10.55.000000 AM";"0107042";"30-JUN-26 08.10.55.000000 AM";"0107042";"0";"0";"ROLLING - 2";"";"Y"
"SA1";"OF";"OF012";"JL";"JLB";"JLBOF012";"Jalan Koleksi Utara OF012";"";"";"";"";"";"";"";"";"";"";"";"";"";"ROLLING - 2";"";"Y"
"SA1";"OG";"001";"JL";"JLA";"JLAOG001";"Jalan Transport Timur OG001";"PJG";"240";"MTR";"240";"0";"0";"";"05-APR-23 10.00.00.000000 AM";"SYSTEM";"05-APR-23 10.00.00.000000 AM";"";"";"";"";"";"Y"
"SA1";"OG";"001";"JL";"JLB";"JLBOG001";"Jalan Koleksi Utara OG001";"PJG";"958";"MTR";"958";"0";"0";"";"20-JUN-26 12.53.29.000000 PM";"0107042";"20-JUN-26 12.53.29.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"002";"JL";"JLA";"JLAOG002";"Jalan Transport Timur OG002";"PJG";"237";"MTR";"237";"0";"0";"WOWIF/SA1/202512/020021";"05-DEC-25 08.43.03.000000 AM";"0107042";"05-DEC-25 08.43.03.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"002";"JL";"JLB";"JLBOG002";"Jalan Koleksi Utara OG002";"PJG";"1011";"MTR";"1011";"0";"0";"WOWIF/SA1/202607/020082";"21-JUL-26 07.39.23.000000 AM";"0107042";"21-JUL-26 07.39.23.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"003";"JL";"JLB";"JLBOG003";"Jalan Koleksi Utara OG003";"PJG";"922";"MTR";"922";"0";"0";"WOWIF/SA1/202607/020086";"22-JUL-26 07.31.42.000000 AM";"0107042";"22-JUL-26 07.31.42.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"004";"JL";"JLB";"JLBOG004";"Jalan Koleksi Utara OG004";"PJG";"919";"MTR";"889";"30";"0";"";"02-MAR-26 03.18.48.000000 PM";"0107042";"02-MAR-26 03.18.48.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"005";"JL";"JLA";"JLAOG005";"Jalan Transport Timur OG005";"PJG";"286";"MTR";"286";"0";"0";"WOWIF/SA1/202512/020022";"05-DEC-25 08.44.09.000000 AM";"0107042";"05-DEC-25 08.44.09.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"005";"JL";"JLB";"JLBOG005";"Jalan Koleksi Utara OG005";"PJG";"1031";"MTR";"971";"60";"0";"";"21-MAY-26 06.47.07.000000 AM";"0107042";"21-MAY-26 06.47.07.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"006";"JL";"JLA";"JLAOG006";"Jalan Transport Timur OG006";"PJG";"300";"MTR";"300";"0";"0";"";"20-JUN-26 12.54.07.000000 PM";"0107042";"20-JUN-26 12.54.07.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"006";"JL";"JLB";"JLBOG006";"Jalan Koleksi Utara OG006";"PJG";"958";"MTR";"958";"0";"0";"WOWIF/SA1/202607/020023";"04-JUL-26 10.20.41.000000 AM";"0107042";"04-JUL-26 10.20.41.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"007";"JL";"JLB";"JLBOG007";"Jalan Koleksi Utara OG007";"PJG";"780";"MTR";"720";"60";"0";"";"29-JUL-26 06.47.17.000000 AM";"0107042";"29-JUL-26 06.47.17.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"007";"JL";"JLC";"JLCOG007";"Jalan Transport Barat OG007";"PJG";"250";"MTR";"250";"0";"0";"";"20-JUN-26 12.54.55.000000 PM";"0107042";"20-JUN-26 12.54.55.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"007";"JL";"JLE";"JLEOG007";"Jalan Utama OG007";"PJG";"310";"MTR";"310";"0";"0";"";"20-JUN-26 12.55.32.000000 PM";"0107042";"20-JUN-26 12.55.32.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"008";"JL";"JLA";"JLAOG008";"Jalan Transport Timur OG008";"PJG";"312";"MTR";"312";"0";"0";"";"20-JUN-26 12.56.06.000000 PM";"0107042";"20-JUN-26 12.56.06.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"008";"JL";"JLB";"JLBOG008";"Jalan Koleksi Utara OG008";"PJG";"1024";"MTR";"954";"70";"0";"";"28-JUL-26 12.58.39.000000 PM";"0107042";"28-JUL-26 12.58.39.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"009";"JL";"JLA";"JLAOG009";"Jalan Transport Timur OG009";"PJG";"268";"MTR";"268";"0";"0";"";"20-JUN-26 12.57.03.000000 PM";"0107042";"20-JUN-26 12.57.03.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"009";"JL";"JLB";"JLBOG009";"Jalan Koleksi Utara OG009";"PJG";"1008";"MTR";"1008";"0";"0";"WOWIF/SA1/202607/020097";"24-JUL-26 06.37.58.000000 AM";"0107042";"24-JUL-26 06.37.58.000000 AM";"0107042";"0";"0";"";"";"Y"
